At. num	Sp. Name	Ion Charge	El. Name	Isoel. Seq.	Ground Shells (a)	Ground Level	Prefix	Ionization Energy (eV)	Suffix	Uncertainty (b) (eV)	References	
"19"	"K VII"	"+6"	"Potassium"	"Al"	"[Ne].3s2.3p"	"2P*<1/2>"	""	"117.56"	""	"0.11"	"L7185"	
"19"	"K VIII"	"+7"	"Potassium"	"Mg"	"[Ne].3s2"	"1S0"	"["	"154.87"	"]"	"0.05"	"L12392"	
"19"	"K IX"	"+8"	"Potassium"	"Na"	"[Ne].3s"	"2S<1/2>"	"["	"175.8174"	"]"	"0.0025"	"L4344"	
"19"	"K X"	"+9"	"Potassium"	"Ne"	"1s2.2s2.2p6"	"1S0"	"["	"503.67"	"]"	"0.07"	"L11770"	
"19"	"K XI"	"+10"	"Potassium"	"F"	"1s2.2s2.2p5"	"2P*<3/2>"	"["	"565.6"	"]"	"0.7"	"L11770"	
"19"	"K XII"	"+11"	"Potassium"	"O"	"1s2.2s2.2p4"	"3P<2>"	"["	"631.1"	"]"	"0.9"	"L11770"	
"19"	"K XIII"	"+12"	"Potassium"	"N"	"1s2.2s2.2p3"	"4S*<3/2>"	"["	"714.7"	"]"	"0.5"	"L11770"	
"19"	"K XIV"	"+13"	"Potassium"	"C"	"1s2.2s2.2p2"	"3P0"	"["	"786.3"	"]"	"0.3"	"L11770"	
"19"	"K XV"	"+14"	"Potassium"	"B"	"1s2.2s2.2p"	"2P*<1/2>"	"["	"860.92"	"]"	"0.25"	"L11770"	
"19"	"K XVI"	"+15"	"Potassium"	"Be"	"1s2.2s2"	"1S0"	"["	"967.7"	"]"	"0.3"	"L11770"	
"19"	"K XVII"	"+16"	"Potassium"	"Li"	"1s2.2s"	"2S<1/2>"	"("	"1034.542"	")"	"0.007"	"L16264c99"	
"19"	"K XVIII"	"+17"	"Potassium"	"He"	"1s2"	"1S0"	"("	"4610.80714"	")"	"0.00025"	"L21139"	
"19"	"K XIX"	"+18"	"Potassium"	"H"	"1s"	"2S<1/2>"	"("	"4934.04979"	")"	"0.00005"	"L19200"	
"20"	"Ca I"	"0"	"Calcium"	"Ca"	"[Ar].4s2"	"1S0"	""	"6.1131549210"	""	"0.0000000005"	"L22848"	
"20"	"Ca II"	"+1"	"Calcium"	"K"	"[Ar].4s"	"2S<1/2>"	""	"11.871719"	""	"0.000004"	"L7185,L7323"	
"20"	"Ca III"	"+2"	"Calcium"	"Ar"	"[Ne].3s2.3p6"	"1S0"	""	"50.91316"	""	"0.00025"	"L1405"	
"20"	"Ca IV"	"+3"	"Calcium"	"Cl"	"[Ne].3s2.3p5"	"2P*<3/2>"	"["	"67.2732"	"]"	"0.0021"	"L11770"	
"20"	"Ca V"	"+4"	"Calcium"	"S"	"[Ne].3s2.3p4"	"3P<2>"	"["	"84.34"	"]"	"0.08"	"L11770"	
"20"	"Ca VI"	"+5"	"Calcium"	"P"	"[Ne].3s2.3p3"	"4S*<3/2>"	"["	"108.78"	"]"	"0.25"	"L7185"	
"20"	"Ca VII"	"+6"	"Calcium"	"Si"	"[Ne].3s2.3p2"	"3P0"	"["	"127.21"	"]"	"0.25"	"L7185"	
"20"	"Ca VIII"	"+7"	"Calcium"	"Al"	"[Ne].3s2.3p"	"2P*<1/2>"	""	"147.24"	""	"0.12"	"L7185"	
"20"	"Ca IX"	"+8"	"Calcium"	"Mg"	"[Ne].3s2"	"1S0"	"["	"188.54"	"]"	"0.06"	"L7185"	
"20"	"Ca X"	"+9"	"Calcium"	"Na"	"[Ne].3s"	"2S<1/2>"	"["	"211.275"	"]"	"0.004"	"L11770"	
"20"	"Ca XI"	"+10"	"Calcium"	"Ne"	"1s2.2s2.2p6"	"1S0"	"["	"591.60"	"]"	"0.12"	"L11770"	
"20"	"Ca XII"	"+11"	"Calcium"	"F"	"1s2.2s2.2p5"	"2P*<3/2>"	"["	"658.2"	"]"	"0.9"	"L11770"	
