At. num	Sp. Name	Ion Charge	El. Name	Isoel. Seq.	Ground Shells (a)	Ground Level	Prefix	Ionization Energy (eV)	Suffix	Uncertainty (b) (eV)	References	
"18"	"Ar VIII"	"+7"	"Argon"	"Na"	"[Ne].3s"	"2S<1/2>"	"["	"143.4567"	"]"	"0.0012"	"L4344"	
"18"	"Ar IX"	"+8"	"Argon"	"Ne"	"1s2.2s2.2p6"	"1S0"	"["	"422.60"	"]"	"0.06"	"L11770"	
"18"	"Ar X"	"+9"	"Argon"	"F"	"1s2.2s2.2p5"	"2P*<3/2>"	"["	"479.76"	"]"	"0.12"	"L11242c99"	
"18"	"Ar XI"	"+10"	"Argon"	"O"	"1s2.2s2.2p4"	"3P<2>"	"["	"540.4"	"]"	"0.6"	"L11770"	
"18"	"Ar XII"	"+11"	"Argon"	"N"	"1s2.2s2.2p3"	"4S*<3/2>"	"["	"619.0"	"]"	"0.4"	"L11770"	
"18"	"Ar XIII"	"+12"	"Argon"	"C"	"1s2.2s2.2p2"	"3P0"	"["	"685.5"	"]"	"0.3"	"L11770"	
"18"	"Ar XIV"	"+13"	"Argon"	"B"	"1s2.2s2.2p"	"2P*<1/2>"	"["	"755.13"	"]"	"0.22"	"L11770"	
"18"	"Ar XV"	"+14"	"Argon"	"Be"	"1s2.2s2"	"1S0"	"["	"855.5"	"]"	"0.3"	"L11770"	
"18"	"Ar XVI"	"+15"	"Argon"	"Li"	"1s2.2s"	"2S<1/2>"	"("	"918.375"	")"	"0.007"	"L16264c99"	
"18"	"Ar XVII"	"+16"	"Argon"	"He"	"1s2"	"1S0"	"("	"4120.66559"	")"	"0.00022"	"L21139"	
"18"	"Ar XVIII"	"+17"	"Argon"	"H"	"1s"	"2S<1/2>"	"("	"4426.22407"	")"	"0.00004"	"L19200"	
"19"	"K I"	"0"	"Potassium"	"K"	"[Ar].4s"	"2S<1/2>"	""	"4.34066373"	""	"0.00000009"	"L5451,L5783,L7185"	
"19"	"K II"	"+1"	"Potassium"	"Ar"	"[Ne].3s2.3p6"	"1S0"	""	"31.62500"	""	"0.00019"	"L12188"	
"19"	"K III"	"+2"	"Potassium"	"Cl"	"[Ne].3s2.3p5"	"2P*<3/2>"	"["	"45.8031"	"]"	"0.0017"	"L11770"	
"19"	"K IV"	"+3"	"Potassium"	"S"	"[Ne].3s2.3p4"	"3P<2>"	"["	"60.917"	"]"	"0.019"	"L11770"	
"19"	"K V"	"+4"	"Potassium"	"P"	"[Ne].3s2.3p3"	"4S*<3/2>"	"["	"82.66"	"]"	"0.16"	"L241"	
"19"	"K VI"	"+5"	"Potassium"	"Si"	"[Ne].3s2.3p2"	"3P0"	"["	"99.44"	"]"	"0.20"	"L7185"	
